"timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"2019-10-29T23:38:29.140Z","chaum","Excel","copyCell","","1151427","2019-G1-research-app-v1.xlsx","30-Oct","A20","","","","","1151427","","","","","",""
"2019-10-29T23:38:34.829Z","chaum","Chrome","selectTab","https://unimelb.service-now.com/st?id=ticket_thanks&number=ASR0058914&table=x_univ6_academic_services_request&sys_id=85904be1db308410f9748a264a9619fd","","","","64","","","","","","","","","","Your ticket has been successfully submitted! - Student and Teaching Services",""
"2019-10-29T23:38:37.495Z","chaum","Chrome","navigate_to","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","","","","","","","","","",""
"2019-10-29T23:38:43.403Z","chaum","Chrome","clickTextField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","520","Investigate Potential Duplicate","","TRUE","","","",""
"2019-10-29T23:38:43.408Z","chaum","Chrome","editField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","520","Investigate Potential Duplicate","","TRUE","","","",""
"2019-10-29T23:38:45.823Z","chaum","Chrome","clickTextField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","sp_formfield_student_id","","INPUT","text","student_id","","","","","","",""
"2019-10-29T23:38:45.990Z","chaum","Chrome","paste","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","1151427","","","sp_formfield_student_id","","INPUT","text","student_id","","","","","","",""
"2019-10-29T23:38:46.476Z","chaum","Chrome","editField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","sp_formfield_student_id","","INPUT","text","student_id","1151427","","","","","",""
"2019-10-29T23:38:48.972Z","chaum","Chrome","clickTextField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","550","International","","TRUE","","","",""
"2019-10-29T23:38:48.975Z","chaum","Chrome","editField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","550","International","","TRUE","","","",""
"2019-10-29T23:38:51.866Z","chaum","Chrome","clickButton","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","BUTTON","submit","submit","","SUBMIT","","","","","Submit"
"2019-10-29T23:45:36.052Z","chaum","Excel","copyCell","","1152769","2019-G1-research-app-v1.xlsx","30-Oct","A29","","","","","1152769","","","","","",""
"2019-10-29T23:45:37.640Z","chaum","Chrome","navigate_to","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","","","","","","","","","",""
"2019-10-29T23:46:56.378Z","chaum","Chrome","clickTextField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","520","Investigate Potential Duplicate","","TRUE","","","",""
"2019-10-29T23:46:56.383Z","chaum","Chrome","editField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","520","Investigate Potential Duplicate","","TRUE","","","",""
"2019-10-29T23:46:58.340Z","chaum","Chrome","clickTextField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","sp_formfield_student_id","","INPUT","text","student_id","","","","","","",""
"2019-10-29T23:46:58.563Z","chaum","Chrome","paste","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","1152769","","","sp_formfield_student_id","","INPUT","text","student_id","","","","","","",""
"2019-10-29T23:46:59.016Z","chaum","Chrome","editField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","sp_formfield_student_id","","INPUT","text","student_id","1152769","","","","","",""
"2019-10-29T23:47:04.766Z","chaum","Chrome","clickButton","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","BUTTON","submit","submit","","SUBMIT","","","","","Submit"
"2019-10-29T23:47:06.796Z","chaum","Excel","copyCell","","1148491","2019-G1-research-app-v1.xlsx","30-Oct","A41","","","","","1148491","","","","","",""
"2019-10-29T23:47:16.064Z","chaum","Chrome","navigate_to","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","","","","","","","","","",""
"2019-10-29T23:47:20.890Z","chaum","Chrome","clickTextField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","520","Investigate Potential Duplicate","","TRUE","","","",""
"2019-10-29T23:47:20.894Z","chaum","Chrome","editField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","INPUT","radio","520","Investigate Potential Duplicate","","TRUE","","","",""
"2019-10-29T23:47:23.050Z","chaum","Chrome","clickTextField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","sp_formfield_student_id","","INPUT","text","student_id","","","","","","",""
"2019-10-29T23:47:23.226Z","chaum","Chrome","paste","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","1148491","","","sp_formfield_student_id","","INPUT","text","student_id","","","","","","",""
"2019-10-29T23:47:23.640Z","chaum","Chrome","editField","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","sp_formfield_student_id","","INPUT","text","student_id","1148491","","","","","",""
"2019-10-29T23:47:29.067Z","chaum","Chrome","clickButton","https://unimelb.service-now.com/st?id=sc_cat_item&sys_id=d53fb03d4fd0c3c07861a90f0310c700&category_id=0dca61a14fbf7ecc592d52411310c78a","","","","","","BUTTON","submit","submit","","SUBMIT","","","","","Submit"
"2019-10-29T23:47:30.690Z","chaum","Excel","copyCell","","1153139","2019-G1-research-app-v1.xlsx","30-Oct","A45","","","","","1153139","","","","","",""
