"timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"2020-02-25T00:36:16.639Z","vleno","Chrome","navigate_to","https://form.jotform.com/200477494954062","","","","","","","","","","","","","","",""
"2020-02-25T00:36:21.065Z","vleno","Excel","getCell","","","reimbursement.xlsx","Student details","A2","","","","","John Doe","","","","","",""
"2020-02-25T00:36:21.105Z","","OS-Clipboard","copy","","John Doe","","","","","","","","","","","","","",""
"2020-02-25T00:36:23.934Z","vleno","Chrome","clickTextField","https://form.jotform.com/200477494954062","","","","first_3","","INPUT","text","q3_name[first]","","","","","","",""
"2020-02-25T00:36:24.282Z","vleno","Chrome","paste","https://form.jotform.com/200477494954062","John Doe","","","first_3","","INPUT","text","q3_name[first]","","","","","","",""
"2020-02-25T00:36:26.177Z","vleno","Chrome","editField","https://form.jotform.com/200477494954062","","","","first_3","","INPUT","text","q3_name[first]","John","","","","","",""
"2020-02-25T00:36:26.273Z","vleno","Chrome","clickTextField","https://form.jotform.com/200477494954062","","","","last_3","","INPUT","text","q3_name[last]","","","","","","",""
"2020-02-25T00:36:26.537Z","vleno","Chrome","paste","https://form.jotform.com/200477494954062","John Doe","","","last_3","","INPUT","text","q3_name[last]","","","","","","",""
"2020-02-25T00:36:28.657Z","vleno","Chrome","editField","https://form.jotform.com/200477494954062","","","","last_3","","INPUT","text","q3_name[last]","Doe","","","","","",""
"2020-02-25T00:36:32.608Z","vleno","Excel","getCell","","","reimbursement.xlsx","Student details","B2","","","","","959933","","","","","",""
"2020-02-25T00:36:32.682Z","","OS-Clipboard","copy","","959933","","","","","","","","","","","","","",""
"2020-02-25T00:36:35.177Z","vleno","Chrome","clickTextField","https://form.jotform.com/200477494954062","","","","input_6","","INPUT","text","q6_studentId","","","","","","",""
"2020-02-25T00:36:35.521Z","vleno","Chrome","paste","https://form.jotform.com/200477494954062","959933","","","input_6","","INPUT","text","q6_studentId","","","","","","",""
"2020-02-25T00:36:36.882Z","vleno","Chrome","editField","https://form.jotform.com/200477494954062","","","","input_6","","INPUT","text","q6_studentId","959933","","","","","",""
"2020-02-25T00:36:47.351Z","vleno","Excel","getCell","","","reimbursement.xlsx","Student details","G2","","","","","jdoe@gmail.com","","","","","",""
"2020-02-25T00:36:47.425Z","","OS-Clipboard","copy","","jdoe@gmail.com","","","","","","","","","","","","","",""
"2020-02-25T00:36:51.884Z","vleno","Chrome","clickTextField","https://form.jotform.com/200477494954062","","","","input_4","","INPUT","email","q4_email","","","","","","",""
"2020-02-25T00:36:52.153Z","vleno","Chrome","paste","https://form.jotform.com/200477494954062","jdoe@gmail.com","","","input_4","","INPUT","email","q4_email","","","","","","",""
