"timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"2019-10-21T00:10:09.640Z","vleno","Excel","copyCell","","John","StudentRecords.xlsx","Sheet1","A2","","","","","John","","","","","",""
"2019-10-21T00:10:12.216Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","John","","","","","INPUT","text","SingleLine","","","","","","",""
"2019-10-21T00:10:13.281Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine","John","","","","","",""
"2019-10-21T00:10:16.269Z","vleno","Excel","copyCell","","Doe","StudentRecords.xlsx","Sheet1","B2","","","","","Doe","","","","","",""
"2019-10-21T00:10:18.810Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Doe","","","","","INPUT","text","SingleLine","John ","","","","","",""
"2019-10-21T00:10:19.161Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine","John Doe","","","","","",""
"2019-10-21T00:10:23.120Z","vleno","Excel","copyCell","","11/03/1986","StudentRecords.xlsx","Sheet1","C2","","","","","11/03/1986","","","","","",""
"2019-10-21T00:10:27.297Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","11/03/1986","","","Date-date","","INPUT","text","date","","","","","","",""
"2019-10-21T00:10:31.091Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","Date-date","","INPUT","text","date","11-03-1986","","","","","",""
"2019-10-21T00:10:35.436Z","vleno","Excel","copyCell","","+61 039 689 9324","StudentRecords.xlsx","Sheet1","D2","","","","","+61 039 689 9324","","","","","",""
"2019-10-21T00:10:38.416Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","+61 039 689 9324","","","PhoneNumber","","INPUT","text","countrycode","","","","","","",""
"2019-10-21T00:10:45.633Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","PhoneNumber","","INPUT","text","countrycode","039-689-9324","","","","","",""
"2019-10-21T00:10:48.760Z","vleno","Excel","copyCell","","jdoe@gmail.com","StudentRecords.xlsx","Sheet1","E2","","","","","jdoe@gmail.com","","","","","",""
"2019-10-21T00:10:51.008Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","jdoe@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"2019-10-21T00:10:51.545Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","jdoe@gmail.com","","","","","",""
"2019-10-21T00:10:53.761Z","vleno","Excel","copyCell","","Australia","StudentRecords.xlsx","Sheet1","F2","","","","","Australia","","","","","",""
"2019-10-21T00:10:56.728Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Australia","","","","","INPUT","text","SingleLine1","","","","","","",""
"2019-10-21T00:10:57.177Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Australia","","","","","",""
"2019-10-21T00:10:59.668Z","vleno","Excel","copyCell","","122 Albert St, Port Melbourne, VIC 3207, Australia","StudentRecords.xlsx","Sheet1","G2","","","","","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","",""
"2019-10-21T00:11:02.073Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_AddressLine1","","","","","","",""
"2019-10-21T00:11:06.033Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_AddressLine1","122 Albert St","","","","","",""
"2019-10-21T00:11:07.161Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_City","","","","","","",""
"2019-10-21T00:11:12.936Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_City","Port Melbourne","","","","","",""
"2019-10-21T00:11:15.192Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_Region","","","","","","",""
"2019-10-21T00:11:20.089Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_Region","VIC","","","","","",""
"2019-10-21T00:11:21.456Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","122 Albert St, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_ZipCode","","","","","","",""
"2019-10-21T00:11:27.689Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Address_ZipCode","3207","","","","","",""
"2019-10-21T00:11:37.513Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"2019-10-21T00:11:41.741Z","vleno","Chrome","clickLink","https://forms.zoho.com/universityofmelbourne/form/NewRecord/thankyou","","","","","","A","","","","Add another response.","","/universityofmelbourne/form/NewRecord","",""," \n<em class="liveAddIcon flLeft></em>\n<b>Add another response.</b>\n<div class=clearBoth"></div>"
"2019-10-21T00:12:04.330Z","vleno","Excel","copyCell","","Albert","StudentRecords.xlsx","Sheet1","A3","","","","","Albert","","","","","",""
"2019-10-21T00:12:09.464Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Albert","","","","","INPUT","text","SingleLine","","","","","","",""
"2019-10-21T00:12:10.104Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine","Albert","","","","","",""
"2019-10-21T00:12:16.000Z","vleno","Excel","copyCell","","Rauf","StudentRecords.xlsx","Sheet1","B3","","","","","Rauf","","","","","",""
"2019-10-21T00:12:19.240Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Rauf","","","","","INPUT","text","SingleLine","Albert ","","","","","",""
"2019-10-21T00:12:19.953Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine","Albert Rauf","","","","","",""
"2019-10-21T00:12:23.095Z","vleno","Excel","copyCell","","11/04/1986","StudentRecords.xlsx","Sheet1","C3","","","","","11/04/1986","","","","","",""
"2019-10-21T00:12:25.121Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","11/04/1986","","","Date-date","","INPUT","text","date","","","","","","",""
"2019-10-21T00:12:28.910Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","Date-date","","INPUT","text","date","11-04-1986","","","","","",""
"2019-10-21T00:12:32.853Z","vleno","Excel","copyCell","","+61 043 512 4834","StudentRecords.xlsx","Sheet1","D3","","","","","+61 043 512 4834","","","","","",""
"2019-10-21T00:12:36.848Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","+61 043 512 4834","","","PhoneNumber","","INPUT","text","countrycode","","","","","","",""
"2019-10-21T00:12:41.905Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","PhoneNumber","","INPUT","text","countrycode","043-512-4834","","","","","",""
"2019-10-21T00:12:44.394Z","vleno","Excel","copyCell","","arauf@gmail.com","StudentRecords.xlsx","Sheet1","E3","","","","","arauf@gmail.com","","","","","",""
"2019-10-21T00:12:50.408Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","arauf@gmail.com","","","","","INPUT","text","Email","","","","","","",""
"2019-10-21T00:12:50.889Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","Email","arauf@gmail.com","","","","","",""
"2019-10-21T00:12:53.102Z","vleno","Excel","copyCell","","Germany","StudentRecords.xlsx","Sheet1","F3","","","","","Germany","","","","","",""
"2019-10-21T00:12:55.584Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","Germany","","","","","INPUT","text","SingleLine1","","","","","","",""
"2019-10-21T00:12:56.025Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","INPUT","text","SingleLine1","Germany","","","","","",""
"2019-10-21T00:12:58.084Z","vleno","Excel","copyCell","","99 Beacon Rd, Port Melbourne, VIC 3207, Australia","StudentRecords.xlsx","Sheet1","G3","","","","","99 Beacon Rd, Port Melbourne, VIC 3207, Australia","","","","","",""
"2019-10-21T00:13:00.121Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","99 Beacon Rd, Port Melbourne, VIC 3207, Australia","","","","","INPUT","text","Address_AddressLine1","","","","","","",""
