timeStamp,userID,targetApp,eventType,url,content,target.workbookName,target.sheetName,target.id,target.class,target.tagName,target.type,target.name,target.value,target.innerText,target.checked,target.href,target.option,target.title,target.innerHTML
2019-10-31T23:36:22.217Z,chaum,Chrome,mouseClick,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,,,,,,,and\n()\nStudy Package Title\nIs equal to\nBegins with\nContains\nEnds with\nDoes not begin with\nDoes not contain\nDoes not end with\nIs between\nIs empty\nIs greater than\nIs greater or equal to\nIs less than\nIs less or equal to\nIs not between\nIs not empty\nIs not equal to\nIs not one of\nIs one of\nSounds like\nAdd,,,,,
2019-10-31T23:36:25.235Z,chaum,Chrome,clickTextField,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,p_15_1_APPSubmissionDate,,,INPUT,,,Submission Date,,,,,
2019-10-31T23:36:26.532Z,chaum,Chrome,editField,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,p_15_1_APPSubmissionDate,,,INPUT,,30/10/2019 23:59,Submission Date,,,,,
2019-10-31T23:36:26.826Z,chaum,Chrome,clickTextField,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,p_16_1_APPSubmissionDate,,,INPUT,,,Submission Date,,,,,
2019-10-31T23:36:26.826Z,chaum,Chrome,editField,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,p_16_1_APPSubmissionDate,,,INPUT,,01/11/2019 23:59,Submission Date,,,,,
2019-10-31T23:36:34.617Z,chaum,Excel,addWorksheet,,,2019-G1-research-app-v1.xlsx,01-Nov,,,,,,,,,,,,
2019-10-31T23:36:47.412Z,chaum,Excel,copyRange,,Student ID\tApplication ID\tFamily Name\tAvailability Year\tStudy Package Title\tIs A Potential Duplicate\tConsolidated\tCitizenship\t2 faculty app\tStaff \tStatus,2019-G1-research-app-v1.xlsx,31-Oct,A1:K1,,,,,"[[""Student ID"";""Application ID"";""Family Name"";""Availability Year"";""Study Package Title"";""Is A Potential Duplicate"";""Potential Duplicate Student ID"";""Consolidated"";""Citizenship"";""2 faculty app"";""Staff"";""Status""]]",,,,,,
2019-10-31T23:36:48.373Z,chaum,Excel,selectWorksheet,,,2019-G1-research-app-v1.xlsx,01-Nov,,,,,,,,,,,,
2019-10-31T23:36:49.159Z,chaum,Excel,editRange,,,2019-G1-research-app-v1.xlsx,01-Nov,A1:K1,,,,,"[[""Student ID"";""Application ID"";""Family Name"";""Availability Year"";""Study Package Title"";""Is A Potential Duplicate"";""Potential Duplicate Student ID"";""Consolidated"";""Citizenship"";""2 faculty app"";""Staff"";""Status""]]",,,,,,
2019-10-31T23:36:56.123Z,chaum,Chrome,clickButton,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,,,,BUTTON,,,OK,,,,,
2019-10-31T23:37:05.024Z,chaum,Chrome,clickButton,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,,,,BUTTON,,,Download,,,,,
2019-10-31T23:37:05.859Z,chaum,Chrome,mouseClick,https://prod.ss.unimelb.edu.au/T1s1prod/CiAnywhere/Web/Prod/StudentStudies/ApplicationLineMyEnquiry?f=%24SST.APP_LINES.LST&h=mYrN3a0zkM&t=E67C4DC&suite=SM&pagekey=20191101090712,,,,,,,A,,,Excel,,,,,
