"caseID","eventType","timeStamp","source","lifecycle:transition","Sheet","FileName","Url","Label","Value","Column","Row"
"0","openFile","2019-02-21T16:06:51.688Z","Excel","complete","Sheet1","data.xls",,,,,
"0","goToUrl","2019-02-21T16:06:58.215Z","Web","complete",,,"www.webpage.com",,,,
"0","insertValue","2019-02-21T16:07:10.152Z","Web","complete",,,,"username","Frank01",,
"0","insertValue","2019-02-21T16:07:21.069Z","Web","complete",,,,"password","LittleFrank123",,
"0","clickButton","2019-02-21T16:07:24.905Z","Web","complete",,,,"confirm",,,
"0","waitResponse","2019-02-21T16:07:28.181Z","Web","complete",,,"www.webpage.com/ok",,,,
"0","clickButton","2019-02-21T16:07:40.962Z","Web","complete",,,,"Button1",,,
"0","clickButton","2019-02-21T16:07:43.354Z","Web","complete",,,,"B2",,,
"0","insertValue","2019-02-21T16:07:46.688Z","Web","complete",,,,"ID","182381",,
"0","copy","2019-02-21T16:07:50.709Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"0","paste","2019-02-21T16:07:53.280Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"0","copy","2019-02-21T16:07:56.899Z","Excel","complete",,,,,"Melbourne 123","B","2"
"0","paste","2019-02-21T16:07:59.955Z","Web","complete",,,,"Area","Melbourne 123",,
"0","clickButton","2019-02-21T16:08:02.285Z","Web","complete",,,,"OK",,,
"1","openFile","2019-02-21T16:08:12.285Z","Excel","complete","Sheet1","data.xls",,,,,
"1","goToUrl","2019-02-21T16:08:23.714Z","Web","complete",,,"www.webpage.com",,,,
"1","insertValue","2019-02-21T16:08:31.397Z","Web","complete",,,,"username","Frank01",,
"1","insertValue","2019-02-21T16:08:44.625Z","Web","complete",,,,"password","LittleFrank123",,
"1","clickButton","2019-02-21T16:08:54.802Z","Web","complete",,,,"confirm",,,
"1","waitResponse","2019-02-21T16:08:57.335Z","Web","complete",,,"www.webpage.com/wrong",,,,
"1","insertValue","2019-02-21T16:09:08.767Z","Excel","complete",,,,,"Wrong log-in","A","10"
"1","insertValue","2019-02-21T16:09:12.724Z","Excel","complete",,,,,"Wrong log-in","B","10"
"1","insertValue","2019-02-21T16:09:14.351Z","Excel","complete",,,,,"Wrong log-in","C","10"
"1","clickButton","2019-02-21T16:09:15.773Z","Web","complete",,,,"cancel",,,
"2","openFile","2019-02-21T16:09:25.773Z","Excel","complete","Sheet1","data.xls",,,,,
"2","goToUrl","2019-02-21T16:09:32.028Z","Web","complete",,,"www.webpage.com",,,,
"2","insertValue","2019-02-21T16:09:41.660Z","Web","complete",,,,"username","Frank01",,
"2","insertValue","2019-02-21T16:09:52.445Z","Web","complete",,,,"password","LittleFrank123",,
"2","clickButton","2019-02-21T16:09:57.854Z","Web","complete",,,,"confirm",,,
"2","waitResponse","2019-02-21T16:10:01.600Z","Web","complete",,,"www.webpage.com/wrong",,,,
"2","insertValue","2019-02-21T16:10:06.864Z","Excel","complete",,,,,"Wrong log-in","A","10"
"2","insertValue","2019-02-21T16:10:09.363Z","Excel","complete",,,,,"Wrong log-in","B","10"
"2","insertValue","2019-02-21T16:10:13.656Z","Excel","complete",,,,,"Wrong log-in","C","10"
"2","clickButton","2019-02-21T16:10:17.852Z","Web","complete",,,,"cancel",,,
"3","openFile","2019-02-21T16:10:27.852Z","Excel","complete","Sheet1","data.xls",,,,,
"3","goToUrl","2019-02-21T16:10:42.694Z","Web","complete",,,"www.webpage.com",,,,
"3","insertValue","2019-02-21T16:10:46.111Z","Web","complete",,,,"username","Frank01",,
"3","insertValue","2019-02-21T16:10:46.257Z","Web","complete",,,,"password","LittleFrank123",,
"3","clickButton","2019-02-21T16:10:58.189Z","Web","complete",,,,"confirm",,,
"3","waitResponse","2019-02-21T16:11:02.673Z","Web","complete",,,"www.webpage.com/ok",,,,
"3","clickButton","2019-02-21T16:11:10.653Z","Web","complete",,,,"Button1",,,
"3","clickButton","2019-02-21T16:11:14.016Z","Web","complete",,,,"B2",,,
"3","insertValue","2019-02-21T16:11:18.235Z","Web","complete",,,,"ID","182381",,
"3","copy","2019-02-21T16:11:21.430Z","Excel","complete",,,,,"Au 58124829 XT","B","1"
"3","paste","2019-02-21T16:11:24.627Z","Web","complete",,,,"Special code","Au 58124829 XT",,
"3","copy","2019-02-21T16:11:28.915Z","Excel","complete",,,,,"Melbourne 123","B","2"
"3","paste","2019-02-21T16:11:33.540Z","Web","complete",,,,"Area","Melbourne 123",,
"3","clickButton","2019-02-21T16:11:36.580Z","Web","complete",,,,"OK",,,
"4","openFile","2019-02-21T16:11:46.580Z","Excel","complete","Sheet1","data.xls",,,,,
"4","goToUrl","2019-02-21T16:12:03.128Z","Web","complete",,,"www.webpage.com",,,,
